"1q14A01-i1","3.40.50.1220","TPP-binding domain","1q14A01"
"1vhnA02-i1","1.10.1200.80","Putative flavin oxidoreducatase; domain 2","1vhnA02"
"2q86C02-i1","2.60.40.10","Immunoglobulins","2q86C02"
"5dupL01-i2","2.60.40.10","Immunoglobulins","5dupL01"
"4pmwA04-i1","2.40.50.140","Nucleic acid-binding proteins","4pmwA04"
"4ku0D00-i1","2.60.200.60","","4ku0D00"
"2gxfA00-i2","3.10.450.50","","2gxfA00"
"3olcX02-i2","3.40.50.10190","","3olcX02"
"4xl1A02-i1","2.10.25.10","Laminin","4xl1A02"
"3opyB04-i2","3.40.50.450","","3opyB04"
"4mo4A02-i1","3.30.420.40","","4mo4A02"
"1fo0A00-i2","2.60.40.10","Immunoglobulins","1fo0A00"
"2xvtC00-i1","1.10.150.510","","2xvtC00"
"4z5pA00-i2","1.10.630.10","Cytochrome p450","4z5pA00"
"3dzaD01-i1","1.20.120.1940","","3dzaD01"
"3oggA02-i2","2.80.10.50","","3oggA02"
"4kp1A02-i1","3.30.499.10","Aconitase, domain 3","4kp1A02"
"3licA01-i2","3.30.450.20","","3licA01"
"3opyB02-i2","3.40.50.450","","3opyB02"
"1t1vA00-i2","3.40.30.10","Glutaredoxin","1t1vA00"
"3opyB03-i1","3.40.50.460","","3opyB03"
"3ox6E02-i2","1.10.238.10","EF-hand","3ox6E02"
"2wjnH02-i1","3.90.50.10","Photosynthetic Reaction Center, subunit H, domain 2","2wjnH02"
"3dqzA00-i2","3.40.50.1820","","3dqzA00"
"2lnbA00-i2","1.10.10.10","""winged helix"" repressor DNA binding domain","2lnbA00"
"2pxfA00-i1","1.10.260.30","","2pxfA00"
"4dibA02-i1","3.30.360.10","Dihydrodipicolinate Reductase; domain 2","4dibA02"
"3ka7A01-i1","3.50.50.60","","3ka7A01"
"3iuyA00-i1","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","3iuyA00"
"4pmwA02-i2","2.40.50.700","","4pmwA02"
"3nr5A00-i1","3.40.1000.50","","3nr5A00"
"4fedA02-i2","3.40.190.10","Periplasmic binding protein-like II","4fedA02"
"1o17D02-i2","3.40.1030.10","Pyrimidine Nucleoside Phosphorylase; Chain A, domain 2","1o17D02"
"1tx9A00-i1","1.10.1850.10","Scaffolding protein gpD of bacteriophage procapsid","1tx9A00"
"1zuoB00-i2","3.10.110.10","Ubiquitin Conjugating Enzyme","1zuoB00"
"3adyA00-i1","3.55.50.60","","3adyA00"
"2e4lA00-i2","3.30.420.10","","2e4lA00"
"3ujoC00-i2","2.60.120.200","","3ujoC00"
"2cwjA00-i1","3.30.1330.40","","2cwjA00"
"5b3rB00-i1","3.60.15.10","Metallo-beta-lactamase, chain A","5b3rB00"
"1vw4601-i2","3.90.79.10","Nucleoside Triphosphate Pyrophosphohydrolase","1vw4601"
"2g3qA00-i2","1.10.8.10","DNA helicase RuvA subunit, C-terminal domain","2g3qA00"
"5keuB00-i2","3.60.130.10","Clavaminate synthase-like","5keuB00"
"2n5fA01-i2","3.40.30.10","Glutaredoxin","2n5fA01"
"3fn9C04-i2","2.60.40.10","Immunoglobulins","3fn9C04"
"3u4kA00-i1","2.60.40.3310","","3u4kA00"
"4djdC02-i1","3.40.50.11600","","4djdC02"
"1jugA00-i1","1.10.530.10","","1jugA00"
"1ihvA00-i1","2.30.30.10","","1ihvA00"
"1gkqA01-i1","2.30.40.10","Urease, subunit C, domain 1","1gkqA01"
"3p7lA01-i2","3.30.830.10","Cytochrome Bc1 Complex; Chain A, domain 1","3p7lA01"
"3ka7A02-i1","3.90.660.50","","3ka7A02"
"2yrkA01-i1","3.30.160.60","Classic Zinc Finger","2yrkA01"
"2p5gB01-i1","3.30.342.10","DNA Polymerase, chain B, domain 1","2p5gB01"
"4jhgA00-i2","3.30.530.20","","4jhgA00"
"3eyxA00-i1","3.40.1050.10","Beta-carbonic Anhydrase; Chain A","3eyxA00"
"1g9gA02-i1","2.170.160.10","Endo-1,4-beta-glucanase f.  Domain 2","1g9gA02"
"3mydA01-i2","3.40.30.60","","3mydA01"
"2p1pA00-i1","3.30.710.10","Potassium Channel Kv1.1; Chain A","2p1pA00"
"2xdqA02-i2","3.40.50.1980","Nitrogenase molybdenum iron protein domain","2xdqA02"
"3ddvB01-i2","3.40.1410.10","Chorismate lyase-like","3ddvB01"
"1colA00-i1","1.10.490.30","Colicin","1colA00"
"5l92A00-i2","1.10.630.10","Cytochrome p450","5l92A00"
"4lpyA00-i2","2.60.40.10","Immunoglobulins","4lpyA00"
"2wjnH01-i1","4.10.540.10","Photosynthetic Reaction Center, subunit H, domain 1","2wjnH01"
"2n5fA02-i1","1.20.1050.10","","2n5fA02"
"3nrrB01-i2","3.40.430.10","Dihydrofolate Reductase, subunit A","3nrrB01"
"2ieeA01-i2","3.40.190.10","Periplasmic binding protein-like II","2ieeA01"
"4mo4A01-i1","3.30.420.40","","4mo4A01"
"2ieeA02-i2","3.40.190.10","Periplasmic binding protein-like II","2ieeA02"
"3licA02-i1","3.30.450.20","","3licA02"
"4jw2A00-i1","1.25.10.110","","4jw2A00"
"3l9aX01-i1","2.40.50.350","","3l9aX01"
"4qajA00-i1","3.40.50.1470","","4qajA00"
"4jimA02-i1","3.30.1510.10","Domain 2, N(10)-formyltetrahydrofolate synthetase","4jimA02"
"3olcX03-i2","3.40.50.10190","","3olcX03"
"1i8dA01-i1","2.40.30.20","","1i8dA01"
"2iw2A01-i1","3.40.350.10","Creatinase/prolidase N-terminal domain","2iw2A01"
"3dhxA00-i1","3.30.70.260","","3dhxA00"
"3o6qA01-i1","1.20.5.460","Single helix bin","3o6qA01"
"4dibA01-i1","3.40.50.720","NAD(P)-binding Rossmann-like Domain","4dibA01"
"3olcX01-i1","3.40.50.10190","","3olcX01"
"1vytA01-i2","2.30.30.40","SH3 Domains","1vytA01"
"3sefC01-i1","3.40.50.10860","Leucine Dehydrogenase, chain A, domain 1","3sefC01"
"2xs1A03-i2","1.20.140.50","alix/aip1 like domains","2xs1A03"
"1t3iB02-i1","3.40.640.10","Type I PLP-dependent aspartate aminotransferase-like (Major domain)","1t3iB02"
"4kp1A01-i1","3.30.499.20","","4kp1A01"
"4xwwB01-i1","3.60.15.10","Metallo-beta-lactamase, chain A","4xwwB01"
"4irhA00-i1","1.10.10.10","""winged helix"" repressor DNA binding domain","4irhA00"
"1vhnA01-i1","3.20.20.70","Aldolase class I","1vhnA01"
"1e57B00-i1","2.60.120.20","","1e57B00"
"1ynjA02-i1","2.170.120.12","RNA Polymerase Alpha Subunit; Chain A, domain 2","1ynjA02"
"1qwvA00-i2","1.10.238.20","","1qwvA00"
"1y3iA01-i1","3.40.50.10330","Probable inorganic polyphosphate/atp-NAD kinase; domain 1","1y3iA01"
"3hz8A00-i2","3.40.30.10","Glutaredoxin","3hz8A00"
"3p7lA04-i2","3.30.830.10","Cytochrome Bc1 Complex; Chain A, domain 1","3p7lA04"
"1tqbA00-i2","1.10.790.10","Major Prion Protein","1tqbA00"
"2xs1A02-i1","1.20.120.560","alix/aip1 in complex with the ypdl late domain ","2xs1A02"
"1e6mA00-i2","3.40.50.2300","","1e6mA00"
"3bcqA00-i2","1.10.490.10","Globins","3bcqA00"
"2luyA01-i2","3.30.60.210","","2luyA01"
"3whe101-i2","2.60.40.10","Immunoglobulins","3whe101"
"1hfuA02-i2","2.60.40.420","Cupredoxins -  blue copper proteins","1hfuA02"
"2cg7A02-i2","2.10.70.10","Complement Module, domain 1","2cg7A02"
"2qygA02-i1","3.20.20.110","Rubisco","2qygA02"
"4l9yD00-i1","3.20.20.60","Phosphoenolpyruvate-binding domains","4l9yD00"
"1p16A02-i2","3.30.470.30","DNA ligase/mRNA capping enzyme","1p16A02"
"5th2A01-i2","2.60.40.10","Immunoglobulins","5th2A01"
"2cmrA00-i1","1.20.58.1860","","2cmrA00"
"4g1uA00-i1","1.10.3470.10","ABC transporter involved in vitamin B12 uptake, BtuC","4g1uA00"
"2vrnA00-i2","3.40.50.880","","2vrnA00"
"3t34A00-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","3t34A00"
"5f28C00-i1","3.40.1810.10","SRF-like","5f28C00"
"2wriY03-i2","3.30.70.870","Elongation Factor G (Translational Gtpase), domain 3","2wriY03"
"2r9zB01-i1","3.50.50.60","","2r9zB01"
"5j39A01-i2","2.40.50.90","","5j39A01"
"2ljkA01-i1","3.40.30.10","Glutaredoxin","2ljkA01"
"3dfuA02-i1","1.10.1040.40","","3dfuA02"
"1h99A01-i1","1.10.1790.10","PTS-regulatory domain, PRD","1h99A01"
"2w9rA00-i1","3.30.1390.10","","2w9rA00"
"2nclA00-i1","3.30.300.90","BolA-like","2nclA00"
"1s5aB00-i2","3.10.450.50","","1s5aB00"
"4ohjA02-i1","2.40.50.110","","4ohjA02"
"3dfuA01-i1","3.40.50.720","NAD(P)-binding Rossmann-like Domain","3dfuA01"
"2pqcA01-i2","3.65.10.10","","2pqcA01"
"4x9hA02-i2","2.60.40.10","Immunoglobulins","4x9hA02"
"4czxA00-i2","2.130.10.10","YVTN repeat-like/Quinoprotein amine dehydrogenase ","4czxA00"
"3cwwA01-i2","3.30.830.10","Cytochrome Bc1 Complex; Chain A, domain 1","3cwwA01"
"1h99A02-i1","1.10.1790.10","PTS-regulatory domain, PRD","1h99A02"
"2z6vA00-i2","3.40.50.300","P-loop containing nucleotide triphosphate hydrolases","2z6vA00"
"4x9hA03-i2","2.60.40.10","Immunoglobulins","4x9hA03"
"3mzfA02-i2","2.60.410.10","Peptidoglycan synthesis regulatory factor (PBP3), Domain 2","3mzfA02"
"4m5dA01-i1","1.10.1410.10","","4m5dA01"
"4h1lG00-i2","2.60.40.10","Immunoglobulins","4h1lG00"
"1dkqA02-i2","3.40.50.1240","Phosphoglycerate mutase-like","1dkqA02"
"5ddtA00-i2","3.90.550.10","Spore Coat Polysaccharide Biosynthesis Protein SpsA; Chain A","5ddtA00"
"2cg7A01-i1","2.10.70.10","Complement Module, domain 1","2cg7A01"
"1w32A00-i1","3.20.20.80","Glycosidases","1w32A00"
"1hslA02-i2","3.40.190.10","Periplasmic binding protein-like II","1hslA02"
"2ba0A03-i1","3.30.1370.10","","2ba0A03"
"3bv6A00-i2","3.60.15.10","Metallo-beta-lactamase, chain A","3bv6A00"
"3jvtB01-i2","1.10.238.10","EF-hand","3jvtB01"
"2lqoA00-i2","3.40.30.10","Glutaredoxin","2lqoA00"
"2fd4A00-i1","3.30.40.110","","2fd4A00"
"5cyfC00-i2","3.40.50.1580","","5cyfC00"
"2hjpA00-i2","3.20.20.60","Phosphoenolpyruvate-binding domains","2hjpA00"
"3f31A00-i1","1.20.58.60","","3f31A00"
"2o6yA02-i1","1.20.200.10","Fumarase/aspartase (Central domain)","2o6yA02"
"1tknA00-i1","1.20.120.770","","1tknA00"
"4m5dA02-i1","3.30.460.10","Beta Polymerase, domain 2","4m5dA02"
